 ▾,Country ▾,Median Income ▾,Year  ▾
1,Luxembourg,"47,568",2020
2,United States,"46,625",2021
3,Norway,"41,621",2021
4,Switzerland,"39,264",2019
5,Canada,"38,582",2020
6,Austria,"36,992",2020
7,Netherlands,"35,891",2021
8,Australia,"35,518",2020
9,Belgium,"35,153",2020
10,Iceland,"34,316",2017
11,Denmark,"33,569",2019
12,Sweden,"33,472",2021
13,Germany,"33,288",2019
14,New Zealand,"31,752",2020
15,Ireland,"30,818",2020
16,Finland,"30,727",2021
17,South Korea,"30,526",2020
18,France,"29,131",2019
19,Slovenia,"27,519",2020
20,Italy,"26,713",2020
21,United Kingdom,"25,383",2020
22,Spain,"25,288",2020
23,Estonia,"23,660",2020
24,Poland,"21,904",2020
25,Japan,"21,694",2018
26,Czech Republic,"21,063",2020
27,Lithuania,"21,034",2020
28,Israel,"20,833",2020
29,Portugal,"19,347",2020
30,Latvia,"18,665",2020
31,Croatia,"18,607",2020
32,Hungary,"17,584",2020
33,Slovak Republic,"16,409",2020
34,Russia,"16,163",2017
35,Romania,"15,897",2020
36,Greece,"15,501",2020
37,Bulgaria,"14,661",2020
38,Turkey,"11,242",2019
39,Chile,"10,058",2020
40,Costa Rica,"8,915",2021
41,Brazil,"6,942",2020
42,Mexico,"5,930",2020
43,South Africa,"5,489",2020
44,China,"4,484",2021
45,India,"2,473",2021
